  user_id  user_name            enrollment_date
---------  -------------------  -----------------
   313267  zaurakavov           2019-03-13
   483017  yuliahappyheart      2019-02-27
  1236651  vladu28              2019-03-30
     4757  vladimirparkhomenko  2019-02-02
  1304747  vilky                2019-03-05
   271830  TKoba                2019-02-28
  1315302  svetlanasvitkova     2019-03-18
   515049  strustudus           2019-03-11
   224026  StepanovSA           2019-02-19
  1096843  spbstu16360046       2019-03-15
   253697  spb98                2019-03-17
   287289  siverka              2019-02-20
   353977  sergienko_97         2019-02-15
   291461  rustamvildanov       2019-03-19
  1336976  oreababkovs          2019-02-14
   293347  olmianser            2019-02-06
     6273  oksanatatarintseva   2019-02-19
   115869  natawa81             2019-02-12
   415208  najara               2019-02-12
   267803  maryraru             2019-02-11
   937114  maksim9631           2019-03-23
   162533  Luneritta            2019-03-01
  1213135  love_belove          2019-02-14
  1346749  lerogacheva          2019-03-24
  1390864  ler0i                2019-03-18
  1393468  lemyr2335            2019-03-21
  1392148  kshkeb               2019-03-19
  1158448  kristinamikhaelis    2019-02-15
   189439  kristina_kryuk       2019-02-03
   151726  kirillzherebin       2019-03-12
   659314  juli-moniq           2019-03-17
  1376008  jrendrago            2019-03-02
  1354482  jovazzle             2019-02-26
  1335789  irinariapolova       2019-02-14
  1363478  indi31               2019-02-24
  1360816  id55280              2019-02-24
   166916  id4228084            2019-02-12
   193749  id333431508          2019-03-17
    45765  id229530726          2019-02-17
  1357276  id204256033          2019-03-20
    52452  I_study              2019-02-06
  1332771  gveysee              2019-02-14
   695053  gofman_evg           2019-02-15
   864061  galaxy-irina         2019-02-22
    25789  frashy1              2019-02-19
    25789  frashy1              2019-02-14
    25789  frashy1              2019-02-06
  1308455  fellow67             2019-03-10
   513870  denvs                2019-02-08
  1271357  daria_sorokina       2019-03-26
   881104  augustr              2019-02-12
   416144  artempotemkin91      2019-03-19
   401809  arabashy             2019-02-26
    67434  Antanol              2019-03-01
  1375697  andrju3952           2019-03-02
   156420  alisherkaribzhanov   2019-02-10
  1399694  adragalina           2019-03-31
  1304309  a-y                  2019-02-11
  1330336  89307139620          2019-02-11
  1234419                       2019-02-16
   124063                       2019-02-13
   124184                       2019-02-14
  1242033                       2019-03-16
  1247147                       2019-02-15
   124746                       2019-03-16
  1247833                       2019-02-17
  1249775                       2019-02-17
  1251577                       2019-03-06
   125340                       2019-02-13
  1253557                       2019-02-12
  1259735                       2019-02-11
  1265295                       2019-02-10
  1268969                       2019-02-06
   127848                       2019-03-07
  1278959                       2019-02-27
  1283195                       2019-03-05
  1283695                       2019-02-17
  1285947                       2019-03-23
  1287867                       2019-02-11
  1290309                       2019-02-02
  1290991                       2019-02-21
   129510                       2019-03-18
  1296770                       2019-02-18
  1296927                       2019-03-18
   129975                       2019-02-06
  1300450                       2019-03-24
  1300566                       2019-03-21
  1301645                       2019-02-13
  1301901                       2019-02-28
  1302260                       2019-02-25
  1303613                       2019-02-06
  1303907                       2019-02-26
  1304318                       2019-02-16
  1304375                       2019-02-14
  1304626                       2019-02-25
  1307487                       2019-02-12
  1308570                       2019-02-09
  1308770                       2019-02-15
  1309440                       2019-02-15
  1310219                       2019-02-14
  1310227                       2019-03-28
  1311277                       2019-02-04
  1311574                       2019-03-03
  1313332                       2019-03-28
  1314319                       2019-03-11
  1316357                       2019-02-04
  1316685                       2019-02-03
  1317066                       2019-02-04
  1319298                       2019-02-04
  1319305                       2019-02-04
  1320107                       2019-02-05
  1320613                       2019-02-05
  1320690                       2019-02-11
  1320756                       2019-02-05
  1320779                       2019-03-26
  1321655                       2019-02-06
  1322513                       2019-02-08
   132612                       2019-03-27
  1326629                       2019-02-09
  1326734                       2019-02-12
  1326817                       2019-02-13
  1326880                       2019-02-09
  1326933                       2019-03-22
  1327294                       2019-02-10
  1328931                       2019-02-11
  1330467                       2019-02-12
  1330726                       2019-02-12
  1330934                       2019-02-12
  1333766                       2019-02-13
  1333953                       2019-03-06
  1334113                       2019-02-13
  1335511                       2019-02-14
  1337142                       2019-02-15
  1337413                       2019-02-15
  1337721                       2019-02-15
  1338986                       2019-03-21
  1339534                       2019-03-18
  1339583                       2019-02-16
  1339844                       2019-02-17
  1340228                       2019-02-17
  1340532                       2019-02-17
    13411                       2019-02-21
  1341748                       2019-03-11
  1347464                       2019-02-20
  1349763                       2019-02-20
  1350330                       2019-02-20
  1350801                       2019-02-20
  1350997                       2019-03-18
  1351745                       2019-02-21
  1351971                       2019-02-21
  1353095                       2019-02-21
  1353153                       2019-02-21
  1353159                       2019-02-21
  1353199                       2019-02-22
  1354234                       2019-02-21
  1355904                       2019-02-22
